Date,ITUB4_BRL,PETR4_BRL,USD_BRL,VALE3_BRL,WEGE3_BRL,IBOV_PONTOS,SP500_BRL,DOWJONES_BRL
2021-09-22,18.17424774169922,8.130311012268066,5.268899917602539,53.652400970458984,36.47911834716797,112282.0,23160.187954167835,180503.66107173264
2021-09-23,18.802980422973633,8.441683769226074,5.287700176239014,53.6505241394043,37.01861572265625,114064.0,23524.872226808453,183825.9464933239
2021-09-24,18.541006088256836,8.460556983947754,5.3018999099731445,52.8210563659668,37.17147445678711,113283.0,23622.508907334413,184495.51306724548
2021-09-27,19.025651931762695,8.536040306091309,5.336999893188477,53.575740814208984,36.7582893371582,113583.0,23712.876865756698,186097.8298028931
2021-09-28,18.593408584594727,8.479426383972168,5.390399932861328,50.89015197753906,36.58736038208008,110124.0,23462.41582808271,184890.65452839434
2021-09-29,18.927417755126953,8.614669799804688,5.427599906921387,51.53605651855469,35.86768341064453,111107.0,23661.404478211887,186659.0618864596
2021-09-30,18.947059631347656,8.564348220825195,5.414299964904785,51.835201263427734,35.65176773071289,110979.0,23322.31388232205,183241.1450200528
2021-10-01,19.441787719726562,8.806525230407715,5.441699981689453,51.80799865722656,36.13754653930664,112900.0,23709.70470078662,186794.30185505748
2021-10-04,15.949210166931152,9.054996490478516,5.3678998947143555,51.325286865234375,34.887088775634766,110393.0,23084.438571539707,182524.28075279295
2021-10-05,16.335817337036133,9.253144264221191,5.453199863433838,50.9581298828125,33.7625732421875,110458.0,23698.080882107606,187124.76398252696
2021-10-06,16.38823699951172,9.007819175720215,5.475500106811523,52.39271926879883,33.74458312988281,110560.0,23892.61742164381,188450.22301011533
2021-10-07,16.040952682495117,8.99523639678955,5.4918999671936035,53.95647430419922,33.78956604003906,110585.0,24163.040512495674,190870.6615688
2021-10-08,16.158893585205078,9.15878677368164,5.517000198364258,54.28962326049805,34.770145416259766,112833.0,24227.02278905362,191695.0681424141
2021-10-11,15.877129554748535,9.221689224243164,5.506899833679199,55.49303436279297,34.74314880371094,112180.0,24016.636162973475,189966.3393325098
2021-10-12,15.877129554748535,9.221689224243164,5.535999774932861,55.49303436279297,34.74314880371094,112180.0,24085.196880186675,190318.48163756542
2021-10-13,15.896793365478516,9.319192886352539,5.531499862670898,53.84769821166992,36.50638961791992,113456.0,24138.3580203522,190160.84351525456
2021-10-14,15.818159103393555,9.334916114807129,5.512499809265137,53.84769821166992,36.524383544921875,113185.0,24465.906111476943,192455.47258900478
2021-10-15,16.22442054748535,9.309757232666016,5.512199878692627,54.853939056396484,36.09257507324219,114648.0,24647.085817550775,194551.78126457892
2021-10-18,16.335817337036133,9.262578010559082,5.458399772644043,54.33721923828125,36.30848693847656,114428.0,24488.892030757852,192455.58539624512
2021-10-19,15.949210166931152,8.809671401977539,5.511300086975098,53.71171569824219,35.399871826171875,110673.0,24909.03656623978,195415.86793663725
2021-10-20,16.375137329101562,8.963786125183105,5.5833001136779785,52.1275520324707,36.09257507324219,110786.0,25326.90981551842,198817.63119760714
2021-10-21,16.040952682495117,8.633540153503418,5.59630012512207,51.10092544555664,35.399871826171875,107735.0,25461.933180947788,199245.51056566834
2021-10-22,15.424999237060547,8.54862117767334,5.657800197601318,51.726417541503906,34.98604965209961,106296.0,25714.13556555868,201853.44815373234
2021-10-25,15.726425170898438,9.133626937866211,5.649199962615967,52.3519172668457,35.57979202270508,108715.0,25796.958534950623,201908.89441697672
2021-10-26,15.556050300598145,9.045561790466309,5.5543999671936035,51.79440689086914,35.67876052856445,106420.0,25410.213642886374,198608.00702382065
2021-10-27,15.673992156982422,9.02354621887207,5.564799785614014,50.61817932128906,35.264923095703125,106363.0,25329.188866371056,197498.59192879312
2021-10-28,15.6412353515625,9.108464241027832,5.534999847412109,50.10826873779297,34.0324592590332,105705.0,25441.183566220105,197768.2039424926
2021-10-29,15.274291038513184,8.539185523986816,5.644899845123291,48.687286376953125,33.285770416259766,103501.0,25996.9081872222,202197.82075824402
2021-11-01,15.882606506347656,8.806525230407715,5.633699893951416,49.170021057128906,33.24979019165039,105551.0,25992.031749594025,202327.7957191225
2021-11-02,15.882606506347656,8.806525230407715,5.678899765014648,49.170021057128906,33.24979019165039,105551.0,26296.996642285027,204739.26582386345
2021-11-03,16.033428192138672,8.444829940795898,5.678599834442139,45.4373893737793,33.89751052856445,105617.0,26465.51103221462,205324.4171544537
2021-11-04,15.187494277954102,8.177489280700684,5.5524001121521,44.9206657409668,33.93349075317383,103412.0,25985.5659942145,200576.1813060958
2021-11-05,15.00388240814209,8.130311012268066,5.6016998291015625,43.58808517456055,33.89751052856445,104824.0,26314.151794709265,203498.26693028212
2021-11-08,14.925192832946777,8.215229988098145,5.541100025177002,45.960906982421875,33.375732421875,104781.0,26052.59107062081,201874.56823287904
2021-11-09,14.7743558883667,8.378782272338867,5.543099880218506,44.8322868347168,33.096858978271484,105535.0,25970.808713793755,201325.2793858666
2021-11-10,15.148153305053711,8.31273365020752,5.479100227355957,44.66231918334961,32.6380500793457,105968.0,25459.789603429846,197685.61516197398
2021-11-11,15.115363121032715,8.319023132324219,5.4899001121521,46.23966979980469,32.83597183227539,107725.0,25524.028001650004,197203.96717903204
2021-11-12,15.082578659057617,8.488862037658691,5.3979997634887695,46.43684005737305,32.0713005065918,106312.0,25278.0237196018,194869.4572509341
2021-11-15,15.082578659057617,8.488862037658691,5.457600116729736,46.43684005737305,32.0713005065918,106312.0,25556.848760684486,196950.86706872843
2021-11-16,14.925192832946777,8.576930046081543,5.456299781799316,45.09744644165039,31.82839584350586,104508.0,25649.51911141863,197202.78027936816
2021-11-17,14.984208106994629,8.359910011291504,5.502200126647949,44.19318771362305,32.17924880981445,102945.0,25798.000237951055,197699.83215918764
2021-11-18,14.735017776489258,8.347329139709473,5.52869987487793,42.377864837646484,32.314186096191406,102524.0,26009.989925323054,198319.7124574557
2021-11-19,14.61042308807373,8.208941459655762,5.556399822235107,43.533687591552734,32.197235107421875,103035.0,26103.743891820777,197818.83794778027
2021-11-22,14.64663028717041,8.290716171264648,5.611599922180176,45.95410919189453,31.189680099487305,102122.0,26278.78541076975,199880.98052811623
2021-11-23,14.892176628112793,8.743622779846191,5.585599899291992,47.16432189941406,30.730859756469727,103663.0,26200.374538546428,200041.56203701347
2021-11-24,15.290365219116211,8.92289924621582,5.570400238037109,48.25895690917969,30.164108276367188,104514.0,26189.01368552819,199444.72078214586
2021-11-25,15.429723739624023,9.316047668457031,5.605199813842773,47.9326057434082,30.407005310058594,105811.0,26352.622497836128,200690.69798006862
2021-11-26,15.13771915435791,8.954349517822266,5.565100193023682,46.667999267578125,29.408432006835938,102224.0,25569.521301030647,194218.3229008522
2021-11-29,15.038177490234375,9.268867492675781,5.607800006866455,47.252708435058594,29.156536102294922,102814.0,26105.823247492546,197035.3324592281
2021-11-30,14.852357864379883,9.256291389465332,5.6006999015808105,47.558658599853516,28.994613647460938,101915.0,25578.39645051956,193132.96020926535
2021-12-01,14.757816314697266,9.309757232666016,5.620871067047119,47.7490348815918,29.22850799560547,100775.0,25367.216179991607,191233.49500835314
2021-12-02,15.315707206726074,10.020097732543945,5.6915669441223145,49.965492248535156,29.4354248046875,104466.0,26050.87161575933,197154.6783794947
2021-12-03,15.262577056884766,10.161425590515137,5.643321990966797,48.86406326293945,29.489398956298828,105070.0,25611.822815453634,195146.51533216238
2021-12-06,15.441904067993164,10.207355499267578,5.65009880065918,51.515655517578125,29.696304321289062,106859.0,25943.388718608767,199036.20701640844
2021-12-07,15.249288558959961,10.373414039611816,5.688000202178955,51.89640426635742,31.090721130371094,107558.0,26658.234947562218,203172.12328421697
2021-12-08,15.10317611694336,10.369882583618164,5.611800193786621,51.50885772705078,32.42213821411133,108096.0,26382.250969820656,200648.5129787922
2021-12-09,14.698033332824707,10.348682403564453,5.531599998474121,51.114505767822266,32.83597183227539,106291.0,25818.46749326866,197780.65092825517
2021-12-10,14.717958450317383,10.47587776184082,5.571100234985352,51.43407440185547,32.20623779296875,107758.0,26251.135838066228,200397.9812663272
2021-12-13,14.326104164123535,10.412280082702637,5.60866117477417,52.936641693115234,32.02631759643555,107383.0,26186.671970171155,199954.09472704865
2021-12-14,14.465578079223633,10.288620948791504,5.679699897766113,52.92984390258789,31.747440338134766,106760.0,26320.23961178586,201880.2737372741
2021-12-15,14.419081687927246,10.352215766906738,5.680600166320801,52.63067626953125,32.03530502319336,107370.0,26754.775248092134,204089.36305829138
2021-12-16,14.565201759338379,10.490010261535645,5.6793999671936035,54.69076919555664,32.02631759643555,108212.0,26515.24380113464,203877.05898795277
2021-12-17,14.246402740478516,10.242688179016113,5.687399864196777,53.827301025390625,31.351604461669922,107201.0,26279.428086076397,201137.40665116534
2021-12-20,14.027226448059082,9.949433326721191,5.693059921264648,53.222190856933594,30.624046325683594,105020.0,26006.011692727916,198870.8809487447
2021-12-21,14.047149658203125,9.963566780090332,5.741300106048584,54.62277603149414,30.543004989624023,105500.0,26692.62457990949,203774.23778855987
2021-12-22,14.100285530090332,9.949433326721191,5.74399995803833,54.33721923828125,30.317890167236328,105244.0,26977.040779486997,205370.34624970704
2021-12-23,14.173345565795898,10.009498596191406,5.6529998779296875,53.813697814941406,30.137802124023438,104891.0,26714.890513941646,203228.50334197283
2021-12-24,14.173345565795898,10.009498596191406,5.671795845031738,53.813697814941406,30.137802124023438,104891.0,26803.716308047064,203904.2288586013
2021-12-27,14.319461822509766,10.157892227172852,5.67110013961792,53.677711486816406,29.867673873901367,105531.0,27171.317945644958,205874.426083697
2021-12-28,14.26632308959961,10.168493270874023,5.624100208282471,52.38591766357422,29.975725173950195,104864.0,26918.91258114134,204707.18571470305
2021-12-29,14.146777153015137,10.083695411682129,5.627500057220459,52.52189254760742,29.480485916137695,104107.0,26972.945753997425,205339.76125781797
2021-12-30,13.91431713104248,10.051895141601562,5.702700138092041,53.00461959838867,29.696590423583984,104822.0,27251.664119523717,207567.3251497224
2021-12-31,13.91431713104248,10.051895141601562,5.570199966430664,53.00461959838867,29.696590423583984,104822.0,26548.576655139215,202411.60179186612
2022-01-03,14.298294067382812,10.278018951416016,5.569300174713135,53.03182601928711,28.832164764404297,103922.0,26713.482772348216,203753.17321806215
2022-01-04,14.703773498535156,10.31688404083252,5.68120002746582,52.406314849853516,28.688091278076172,103514.0,27233.059801580384,209066.16371385753
2022-01-05,14.424599647521973,9.917634963989258,5.676199913024902,52.90263366699219,27.175342559814453,101006.0,26681.432230619714,206654.0310678631
2022-01-06,14.717073440551758,9.910569190979004,5.705635070800781,53.97007369995117,27.166345596313477,101561.0,26793.94645985216,206752.06694197655
2022-01-07,15.042795181274414,9.956499099731445,5.682400226593018,57.111183166503906,26.482009887695312,102719.0,26576.755110954167,205882.7938817162
2022-01-10,15.182380676269531,9.896435737609863,5.632199764251709,56.43129348754883,25.716630935668945,101945.0,26304.006456994917,203147.08727104403
2022-01-11,15.52139949798584,10.189689636230469,5.662199974060059,57.505516052246094,26.148841857910156,103779.0,26686.34383643465,205266.1840494685
2022-01-12,15.454919815063477,10.5006103515625,5.567299842834473,58.13103485107422,27.21136474609375,105686.0,26313.008155862335,202039.09457219392
2022-01-13,15.740756034851074,10.712601661682129,5.533199787139893,57.247169494628906,26.20287322998047,105530.0,25779.342615504982,199823.88054878823
2022-01-14,15.621102333068848,11.111849784851074,5.526700019836426,57.58031463623047,27.643579483032227,106928.0,25770.173727211077,198473.79326744005
2022-01-17,15.621102333068848,11.129517555236816,5.533299922943115,57.281158447265625,27.32842254638672,106692.0,25800.948086056625,198710.80772454478
2022-01-18,15.714168548583984,11.178980827331543,5.5157999992370605,58.681739807128906,27.499513626098633,106522.0,25246.42258039466,195085.399904266
2022-01-19,15.607810974121094,11.125983238220215,5.565700054168701,59.973548889160156,27.46349334716797,108013.0,25227.98127307277,194958.95050605014
2022-01-20,15.481507301330566,11.207245826721191,5.43720006942749,58.95370864868164,27.679597854614258,109102.0,24373.49976102938,188754.52431645244
2022-01-21,15.488168716430664,11.224913597106934,5.418099880218506,57.72990798950195,27.562538146972656,108942.0,23828.477869741386,185653.20301868953
2022-01-24,15.468214988708496,11.288511276245117,5.457099914550781,57.02280044555664,26.92322540283203,107752.0,24066.51940665394,187530.51001358032
2022-01-25,16.02659034729004,11.655961036682129,5.486100196838379,57.15198516845703,27.193363189697266,109845.0,23899.9222740205,188160.78587571904
2022-01-26,16.199426651000977,11.966877937316895,5.440703868865967,57.3151741027832,27.679597854614258,111573.0,23666.681936669862,185898.45860465057
2022-01-27,16.27918243408203,11.970412254333496,5.429166793823242,57.444339752197266,29.174333572387695,112315.0,23489.34315268323,185464.57921355963
2022-01-28,16.47861099243164,11.496966361999512,5.40348482131958,56.880035400390625,28.47198486328125,111478.0,23947.434733049246,187638.5433038324
2022-01-31,16.837566375732422,11.429835319519043,5.362599849700928,54.983116149902344,28.958227157592773,112388.0,24215.08670393424,188398.10380408913
2022-02-01,16.95572853088379,11.659493446350098,5.303100109100342,58.001853942871094,28.868183135986328,113147.0,24110.756977181416,187757.52299202047
2022-02-02,16.689647674560547,11.489901542663574,5.264500141143799,58.32820510864258,28.607053756713867,112161.0,24160.791040828917,187570.60294292122
2022-02-03,16.882556915283203,11.33090591430664,5.260900020599365,58.300994873046875,27.868694305419922,111696.0,23555.36387997656,184716.30318928324
2022-02-04,16.935768127441406,11.528767585754395,5.282899856567383,59.83076477050781,27.778644561767578,112245.0,23775.848156479187,185375.57333300263
2022-02-07,16.842639923095703,11.359172821044922,5.326900005340576,61.27895736694336,27.913713455200195,111996.0,23885.127751192544,186926.93475810997
